title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Gandhada Gudi,Action- Drama- Thriller,Vijay,.,Balkrishna,Kalpana,Rajkumar,Vishnuvardhan,.,8,172,1973
Love Bavarian Style,Comedy,SigiRothemund,.,ElisabethVolkmann,AlexanderGrill,MarieEkorre,RinaldoTalamonti,.,4.7,172,1973
Zhan shen tan,Action- War,JimmyWangYu,.,JimmyWangYu,FeiLung,YehTien,HanHsieh,.,6.6,172,1973
Paperback Hero,Drama- Sport,PeterPearson,.,KeirDullea,ElizabethAshley,JohnBeck,DayleHaddon,.,6.1,171,1973
Los caballeros de la cama redonda,Comedy,GerardoSofovich,.,JorgePorcel,AlbertoOlmedo,ChicoNovarro,Tristán,.,6.8,170,1973
Ein Käfer auf Extratour,Comedy- Fantasy,RudolfZehetgruber,.,RudolfZehetgruber,SalBorgese,KathrinOginski,WalterGiller,.,5.1,170,1973
Doctor Death: Seeker of Souls,Horror,EddieSaeta,.,JohnConsidine,BarryCoe,CherylMiller,StewartMoss,.,5.5,169,1973
Achanak,Crime- Drama,Gulzar,.,VinodKhanna,OmShivpuri,LilyChakravarty,FaridaJalal,.,7,168,1973
Quartier de femmes,Drama,JesúsFranco,.,AndrésResino,GenevièveRobert,DennisPrice,RosaPalomar,.,4.8,168,1973
Charley-One-Eye,Western,DonChaffey,.,RichardRoundtree,RoyThinnes,NigelDavenport,JillPearson,.,6,168,1973
Counselor at Crime,Crime- Drama,AlbertoDeMartino,.,MartinBalsam,TomasMilian,FranciscoRabal,DagmarLassander,.,6,167,1973
Through and Through,Crime,GrzegorzKrólikiewicz,.,FranciszekTrzeciak,AnnaNieborowska,IrenaLadosiówna,LucynaWinnicka,.,6.8,166,1973
Tai quan zhen jiu zhou,Action- War- Drama,FengHuang,.,AngelaMao,JhoonRhee,CarterWong,Ing-SikWhang,.,6.3,166,1973
The Godfather: Part II,Crime- Drama,FrancisFordCoppola,.,AlPacino,RobertDeNiro,RobertDuvall,DianeKeaton,57300000,9,1016816,1974
Chinatown,Drama- Mystery- Thriller,RomanPolanski,.,JackNicholson,FayeDunaway,JohnHuston,PerryLopez,29200000,8.2,269266,1974
