title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
The Beyond,Sci-Fi,HasrafDulull,.,JanePerry,NigelBarber,NoeleenComiskey,EzraKhan,.,4.8,4804,2017
Singam 3,Action- Thriller,Hari,.,Suriya,AnushkaShetty,ShrutiHaasan,ThakurAnoopSingh,.,6.3,4773,2017
Gekijo-ban Sword Art Online: Ordinal Scale,Animation- Action- Adventure,TomohikoItô,.,YoshitsuguMatsuoka,HarukaTomatsu,KanaeItô,AyanaTaketatsu,.,7.4,4750,2017
Underverden,Action- Crime- Drama,FenarAhmad,.,DarSalim,StineFischerChristensen,AliSivandi,DulfiAl-Jabouri,.,6.7,4729,2017
Naam Shabana,Action- Thriller,ShivamNair,.,TaapseePannu,AkshayKumar,ManojBajpayee,TaherShabbir,.,6.3,4693,2017
Gunhamdo,Action- Drama- History,Seung-wanRyoo,.,Jung-minHwang,Ji-seobSo,Joong-KiSong,Jung-hyunLee,.,7.1,4692,2017
Kincsem,Adventure- Drama- History,GáborHerendi,.,ErvinNagy,AndreaPetrik,TiborGáspár,JózsefGyabronka,.,7.4,4664,2017
Band Aid,Comedy- Drama- Music,ZoeLister-Jones,.,ZoeLister-Jones,AdamPally,FredArmisen,SusieEssman,237535,6.6,4656,2017
Same Kind of Different as Me,Biography- Drama,MichaelCarney,.,GregKinnear,RenéeZellweger,DjimonHounsou,JonVoight,6423605,6.5,4639,2017
#REALITYHIGH,Comedy- Drama- Romance,FernandoLebrija,.,NestaCooper,KeithPowers,AliciaSanz,JakeBorelli,.,5.2,4611,2017
Let the Sunshine In,Comedy- Drama- Romance,ClaireDenis,.,JulietteBinoche,XavierBeauvois,PhilippeKaterine,JosianeBalasko,866714,6,4591,2017
Bottom of the World,Drama- Mystery- Thriller,RichardSears,.,JenaMalone,DouglasSmith,TedLevine,TamaraDuarte,.,5.4,4566,2017
Jai Lava Kusa,Action- Drama,BobbyKolli,.,N.T.RamaRaoJr.,RaashiKhanna,NivedaThomas,Brahmaji,.,7,4558,2017
Tom of Finland,Biography- Drama,DomeKarukoski,.,PekkaStrang,SeumasF.Sargent,ChrisMyland,AlfMyreen,378296,6.8,4557,2017
Qarib Qarib Singlle,Comedy- Romance,TanujaChandra,.,IrrfanKhan,ParvathyThiruvothu,BajrangbaliSingh,AnudSinghDhaka,.,7,4542,2017
Pokémon the Movie: I Choose You!,Animation- Action- Adventure,KunihikoYuyama,.,UnshôIshizuka,RicaMatsumoto,SarahNatochenny,MegumiHayashibara,2401722,6.4,4527,2017
The Young Karl Marx,Biography- Drama- History,RaoulPeck,.,AugustDiehl,StefanKonarske,VickyKrieps,OlivierGourmet,125659,6.6,4526,2017
Dave Made a Maze,Adventure- Comedy- Fantasy,BillWatterson,.,MeeraRohitKumbhani,NickThune,AdamBusch,JamesUrbaniak,34117,6.2,4416,2017
Starship Troopers: Traitor of Mars,Animation- Action- Sci-Fi,ShinjiAramaki,MasaruMatsumoto,CasperVanDien,DinaMeyer,DeRayDavis,JustinDoran,.,5.5,4407,2017
Prodigy,Drama- Sci-Fi- Thriller,AlexHaughey,BrianVidal,RichardNeil,SavannahLiles,JoleneAndersen,EmilioPalame,.,6,4405,2017
The Son of Bigfoot,Animation- Adventure- Comedy,JeremyDegruson,BenStassen,CindaAdams,MariDevon,KirkThornton,JohnAllsopp,289308,6.1,4359,2017
A Gentleman,Action- Comedy,KrishnaD.K.,RajNidimoru,SidharthMalhotra,JacquelineFernandez,DarshanKumaar,HussainDalal,418870,6.3,4300,2017
Finding Your Feet,Comedy- Drama- Music,RichardLoncraine,.,ImeldaStaunton,CeliaImrie,TimothySpall,JoannaLumley,1418682,6.7,4274,2017
Nieve negra,Crime- Drama- Mystery,MartinHodara,.,LeonardoSbaraglia,LaiaCosta,RicardoDarín,DoloresFonzi,.,6.2,4271,2017
Yol Arkadasim,Comedy,BedranGüzel,.,OguzhanKoç,IbrahimBüyükak,EmreKinay,AsliBekiroglu,.,6.1,4186,2017
Zama,Drama,LucreciaMartel,.,DanielGiménezCacho,LolaDueñas,MatheusNachtergaele,JuanMinujín,200600,6.8,4185,2017
The Snare,Horror- Thriller,C.A.Cooper,.,EaoifaForward,DanielPaton,RachelWarren,FinBanks,.,3.5,4179,2017
Woman Walks Ahead,Biography- Drama- History,SusannaWhite,.,JessicaChastain,LouisaKrause,BootsSoutherland,ChaskeSpencer,57528,6.6,4141,2017
Sandome no satsujin,Crime- Drama- Mystery,HirokazuKoreeda,.,MasaharuFukuyama,KôjiYakusho,ShinnosukeMitsushima,MikakoIchikawa,89315,6.7,4128,2017
The Trip to Spain,Comedy- Drama,MichaelWinterbottom,.,SteveCoogan,RobBrydon,RebeccaJohnson,ClaireKeelan,1157604,6.6,4112,2017
The Ballad of Lefty Brown,Action- Drama- Western,JaredMoshe,.,BillPullman,PeterFonda,StephenAlanSeder,KathyBaker,7856,6.2,4084,2017
Final Portrait,Biography- Comedy- Drama,StanleyTucci,.,GeoffreyRush,ArmieHammer,TonyShalhoub,SylvieTestud,461972,6.2,4079,2017
Bad Day for the Cut,Crime- Drama- Thriller,ChrisBaugh,.,NigelO'Neill,SusanLynch,JózefPawlowski,StuartGraham,.,6.5,4071,2017
Fun Mom Dinner,Comedy,AletheaJones,.,KatieAselton,ToniCollette,BridgetEverett,MollyShannon,.,5.2,4036,2017
D'après une histoire vraie,Drama- Mystery- Thriller,RomanPolanski,.,EmmanuelleSeigner,EvaGreen,VincentPerez,DominiquePinon,.,5.7,4026,2017
Fukrey Returns,Comedy,MrighdeepLamba,.,PulkitSamrat,ManjotSingh,AliFazal,VarunSharma,.,6.5,4024,2017
Stephanie,Horror- Mystery,AkivaGoldsman,.,ShreeCrooks,FrankGrillo,AnnaTorv,JonahBeres,.,5.8,4020,2017
Skybound,Action- Thriller,AlexTavakoli,.,ScarlettByrne,GavinStenhouse,RickCosnett,MortenSuurballe,.,5.8,3977,2017
The Hatton Garden Job,Action- Crime- Thriller,RonnieThompson,.,MatthewGoode,PhilDaniels,LarryLamb,CliveRussell,.,5.8,3974,2017
Hind Ka Napak Ko Jawab,Action- Comedy,HoneypreetInsan,GurmeetRamRahimSingh,GurmeetRamRahimSingh,HoneypreetInsan,AdityaInsan,BhushanInsan,.,6.8,3956,2017
Tumhari Sulu,Comedy- Drama,SureshTriveni,.,VidyaBalan,ManavKaul,NehaDhupia,VijayMaurya,.,7,3939,2017
Stratton,Action- Thriller,SimonWest,.,DominicCooper,AustinStowell,GemmaChan,ConnieNielsen,.,4.8,3923,2017
Salinjaui gieokbeob,Action- Crime- Thriller,Shin-yeonWon,.,Kyung-guSol,Nam-gilKim,Seol-HyunKim,Dal-suOh,91335,7.1,3921,2017
Shock and Awe,Biography- Drama- History,RobReiner,.,WoodyHarrelson,JamesMarsden,RobReiner,TommyLeeJones,77980,6.1,3894,2017
Baadshaho,Action- Thriller,MilanLuthria,.,AjayDevgn,IleanaD'Cruz,EmraanHashmi,EshaGupta,.,4.9,3871,2017
F*&% the Prom,Comedy- Drama,BennyFine,.,DanielleCampbell,JoelCourtney,MadelainePetsch,CameronPalatas,.,4.2,3839,2017
Pilgrimage,Adventure- Drama- Mystery,BrendanMuldowney,.,TomHolland,RichardArmitage,JonBernthal,NikosKarathanos,.,5.8,3802,2017
Fack ju Göhte 3,Comedy,BoraDagtekin,.,ElyasM'Barek,KatjaRiemann,JellaHaase,SandraHüller,.,5.4,3790,2017
Bodied,Comedy- Drama- Music,JosephKahn,.,CalumWorthy,JackieLong,RoryUphold,JonathanPark,113956,7.2,3724,2017
Gemini,Crime- Drama- Mystery,AaronKatz,.,LolaKirke,ZoëKravitz,JohnCho,GretaLee,200340,5.4,3714,2017
Mein Blind Date mit dem Leben,Biography- Comedy- Drama,MarcRothemund,.,KostjaUllmann,JacobMatschenz,AnnaMariaMühe,JohannvonBülow,.,7.1,3713,2017
I Remember You,Drama- Horror- Mystery,ÓskarThórAxelsson,.,JóhannesHaukurJóhannesson,ÁgústaEvaErlendsdóttir,ElmaStefaniaAgustsdottir,ThorKristjansson,.,6.2,3694,2017
Godard Mon Amour,Biography- Comedy- Drama,MichelHazanavicius,.,LouisGarrel,StacyMartin,BéréniceBejo,MichaLescot,82264,6.6,3689,2017
The Most Hated Woman in America,Biography- Drama- History,TommyO'Haver,.,MelissaLeo,BrandonMychalSmith,JunoTemple,MichaelChernus,.,6.1,3664,2017
Landline,Comedy- Drama,GillianRobespierre,.,JennySlate,JayDuplass,AbbyQuinn,JohnTurturro,940854,6.4,3628,2017
Victor Crowley,Action- Comedy- Horror,AdamGreen,.,ParryShen,KaneHodder,LauraOrtiz,DaveSheridan,.,5.5,3618,2017
Arsenal,Action- Crime- Thriller,StevenC.Miller,.,NicolasCage,JohnCusack,AdrianGrenier,JohnathonSchaech,.,4,3610,2017
Un sac de billes,Drama,ChristianDuguay,.,DorianLeClech,BatysteFleurial,PatrickBruel,ElsaZylberstein,411318,7.3,3605,2017
Andover,Comedy- Drama- Romance,ScottPerlman,.,JonathanSilverman,JenniferFinnigan,RichardKind,AngelaKinsey,.,5.9,3599,2017
Istanbul Kirmizisi,Drama,FerzanOzpetek,.,HalitErgenç,TubaBüyüküstün,MehmetGünsür,NejatIsler,.,5.5,3590,2017
Ghost House,Horror- Thriller,RichRagsdale,.,ScoutTaylor-Compton,JamesLandryHébert,MarkBooneJunior,RussellGeoffreyBanks,.,4.7,3581,2017
Arrhythmia,Drama,BorisKhlebnikov,.,AleksandrYatsenko,IrinaGorbacheva,NikolayShrayber,MaksimLagashkin,.,7.5,3567,2017
Downrange,Action- Horror- Thriller,RyûheiKitamura,.,KellyConnaire,StephaniePearson,RodHernandez,AnthonyKirlew,.,5.4,3560,2017
68 Kill,Comedy- Crime- Romance,TrentHaaga,.,MatthewGrayGubler,AnnaLynneMcCord,AlishaBoe,SheilaVand,.,6,3552,2017
Everybody Loves Somebody,Comedy- Romance,CatalinaAguilarMastretta,.,KarlaSouza,JoséMaríaYazpik,BenO'Toole,AlejandroCamacho,1910685,6.5,3550,2017
Take Off,Action- Drama- Thriller,MaheshNarayan,.,ParvathyThiruvothu,FahadhFaasil,KunchackoBoban,PrakashBelawadi,.,8.3,3549,2017
Three Seconds,Drama- Sport,AntonMegerdichev,.,VladimirMashkov,JohnSavage,MaratBasharov,SergeyGarmash,.,6.6,3546,2017
Çalgi Çengi Ikimiz,Comedy,SelçukAydemir,.,AhmetKural,MuratCemcir,HakanAkin,NurErkul,.,5.7,3545,2017
Dead Story,Horror,SuneelTripuraneni,.,KelseyDeanne,ChaseAustinMosely,MelissaAlouf,JayBowles,.,4.8,3536,2017
This Is Your Death,Drama- Game-Show- Thriller,GiancarloEsposito,.,JoshDuhamel,GiancarloEsposito,FamkeJanssen,CaitlinFitzGerald,.,5.6,3535,2017
Temple,Adventure- Drama- Horror,MichaelBarrett,.,LoganHuffman,NataliaWarner,BrandonSklenar,NaotoTakenaka,.,3.6,3526,2017
Boo 2! A Madea Halloween,Comedy- Drama- Horror,TylerPerry,.,TylerPerry,CassiDavis,PatriceLovely,YousefErakat,47319572,3.7,3508,2017
Angamaly Diaries,Action- Comedy- Thriller,LijoJosePellissery,.,AntonyVarghese,SarathKumar,TitoWilson,ReshmaRajan,.,8,3495,2017
Keep Watching,Horror- Thriller,SeanCarter,.,BellaThorne,ChandlerRiggs,IoanGruffudd,NatalieMartinez,.,4.3,3494,2017
SPF-18,Romance,AlexIsrael,.,CarsonMeyer,NoahCentineo,BiancaA.Santos,JacksonWhite,.,3.3,3485,2017
Time of happiness,Comedy- Romance,SenolSönmez,.,ElçinSangu,BarisArduç,CengizBozkurt,DilaBayrak,.,6.8,3475,2017
L'ascension,Adventure- Comedy- Romance,LudovicBernard,.,AhmedSylla,AliceBelaïdi,KévinRazy,NicolasWanczycki,.,6.9,3442,2017
Dear Dictator,Comedy,LisaAddario,JoeSyracuse,MichaelCaine,OdeyaRush,KatieHolmes,SethGreen,.,5,3424,2017
Jackals,Horror- Thriller,KevinGreutert,.,DeborahKaraUnger,BenSullivan,ChelseaRicketts,NickRoux,.,5.3,3418,2017
Hampstead,Comedy- Drama- Romance,JoelHopkins,.,JamesNorton,DianeKeaton,BrendanGleeson,LesleyManville,143819,5.9,3378,2017
Bingo: The King of the Mornings,Biography- Comedy- Drama,DanielRezende,.,VladimirBrichta,LeandraLeal,TaináMüller,AugustoMadeira,.,8,3377,2017
Rangoon,Action- Drama- History,VishalBhardwaj,.,KanganaRanaut,ShahidKapoor,SaifAliKhan,ManavVij,.,5.7,3359,2017
El autor,Comedy- Drama,ManuelMartínCuenca,.,JavierGutiérrez,MaríaLeón,AdelfaCalvo,AdrianaPaz,.,6.5,3345,2017
Ali's Wedding,Comedy- Drama- Romance,JeffreyWalker,.,OsamahSami,DonHany,HelanaSawires,RobertRabiah,.,6.9,3341,2017
The Healer,Comedy- Drama- Family,PacoArango,.,OliverJackson-Cohen,JonathanPryce,CamillaLuddington,JorgeGarcia,.,6.2,3337,2017
Moontrap: Target Earth,Action- Adventure- Sci-Fi,RobertDyke,.,TarickSalmaci,NikiSpiridakos,SarahButler,DamonDayoub,.,4.9,3316,2017
Bon Cop Bad Cop 2,Action- Comedy- Crime,AlainDesrochers,.,ColmFeore,PatrickHuard,MarcBeaupré,NoamJenkins,.,6.6,3311,2017
Jattu Engineer,Comedy- Crime- Drama,HoneypreetInsan,GurmeetRamRahimSingh,AmardeepInsan,AshokInsan,DivyaInsan,IshwarInsan,.,6,3305,2017
OK Jaanu,Drama- Romance,ShaadAli,.,AdityaRoyKapoor,ShraddhaKapoor,NaseeruddinShah,KituGidwani,345872,5.1,3305,2017
Monster Family,Animation- Comedy- Family,HolgerTappe,.,EmilyWatson,JasonIsaacs,NickFrost,JessicaBrownFindlay,112014,4.8,3287,2017
What Will People Say,Drama,IramHaq,.,MariaMozhdah,AdilHussain,EkavaliKhanna,RohitSaraf,44156,7.4,3280,2017
Handsome: A Netflix Mystery Movie,Comedy- Mystery,JeffGarlin,.,AvaAcres,ArmaniGreatDane,DinoBattaglia,BrentBradshaw,.,5.3,3269,2017
Avengers: Infinity War,Action- Adventure- Sci-Fi,AnthonyRusso,JoeRusso,RobertDowneyJr.,ChrisHemsworth,MarkRuffalo,ChrisEvans,678815482,8.5,701643,2018
Black Panther,Action- Adventure- Sci-Fi,RyanCoogler,.,ChadwickBoseman,MichaelB.Jordan,LupitaNyong'o,DanaiGurira,700059566,7.3,536677,2018
Deadpool 2,Action- Adventure- Comedy,DavidLeitch,.,RyanReynolds,JoshBrolin,MorenaBaccarin,JulianDennison,324591735,7.7,410694,2018
Bohemian Rhapsody,Biography- Drama- Music,BryanSinger,.,RamiMalek,LucyBoynton,GwilymLee,BenHardy,216428042,8,373673,2018
A Quiet Place,Drama- Horror- Sci-Fi,JohnKrasinski,.,EmilyBlunt,JohnKrasinski,MillicentSimmonds,NoahJupe,188024361,7.5,319691,2018
Ready Player One,Action- Adventure- Sci-Fi,StevenSpielberg,.,TyeSheridan,OliviaCooke,BenMendelsohn,LenaWaithe,137690172,7.5,313171,2018
Venom,Action- Sci-Fi- Thriller,RubenFleischer,.,TomHardy,MichelleWilliams,RizAhmed,ScottHaze,213515506,6.7,299544,2018
Aquaman,Action- Adventure- Fantasy,JamesWan,.,JasonMomoa,AmberHeard,WillemDafoe,PatrickWilson,335061807,7,289615,2018
A Star Is Born,Drama- Music- Romance,BradleyCooper,.,LadyGaga,BradleyCooper,SamElliott,GregGrunberg,215288866,7.7,270793,2018
Ant-Man and the Wasp,Action- Adventure- Comedy,PeytonReed,.,PaulRudd,EvangelineLilly,MichaelPeña,WaltonGoggins,216648740,7.1,258047,2018
Spider-Man: Into the Spider-Verse,Animation- Action- Adventure,BobPersichetti,PeterRamsey,ShameikMoore,JakeJohnson,HaileeSteinfeld,MahershalaAli,190241310,8.4,251786,2018
Mission: Impossible - Fallout,Action- Adventure- Thriller,ChristopherMcQuarrie,.,TomCruise,HenryCavill,VingRhames,SimonPegg,220159104,7.8,244658,2018
Annihilation,Adventure- Drama- Horror,AlexGarland,.,NataliePortman,JenniferJasonLeigh,TessaThompson,BenedictWong,32732301,6.9,236912,2018
Solo: A Star Wars Story,Action- Adventure- Fantasy,RonHoward,.,AldenEhrenreich,WoodyHarrelson,EmiliaClarke,DonaldGlover,213767512,7,234780,2018
Green Book,Biography- Comedy- Drama,PeterFarrelly,.,ViggoMortensen,MahershalaAli,LindaCardellini,SebastianManiscalco,85080171,8.2,234479,2018
Bird Box,Drama- Horror- Sci-Fi,SusanneBier,.,SandraBullock,TrevanteRhodes,JohnMalkovich,SarahPaulson,.,6.6,230848,2018
Jurassic World: Fallen Kingdom,Action- Adventure- Sci-Fi,J.A.Bayona,.,ChrisPratt,BryceDallasHoward,RafeSpall,JusticeSmith,417719760,6.2,227462,2018
Incredibles 2,Animation- Action- Adventure,BradBird,.,CraigT.Nelson,HollyHunter,SarahVowell,HuckMilner,608581744,7.7,213261,2018
Fantastic Beasts: The Crimes of Grindelwald,Adventure- Family- Fantasy,DavidYates,.,EddieRedmayne,KatherineWaterston,DanFogler,JohnnyDepp,159555901,6.6,175671,2018
Game Night,Action- Comedy- Crime,JohnFrancisDaley,JonathanGoldstein,JasonBateman,RachelMcAdams,KyleChandler,SharonHorgan,69001013,6.9,169571,2018
Tomb Raider,Action- Adventure- Fantasy,RoarUthaug,.,AliciaVikander,DominicWest,WaltonGoggins,DanielWu,57421715,6.3,168249,2018
Hereditary,Drama- Horror- Mystery,AriAster,.,ToniCollette,MillyShapiro,GabrielByrne,AlexWolff,44069456,7.3,167766,2018
BlacKkKlansman,Biography- Crime- Drama,SpikeLee,.,JohnDavidWashington,AdamDriver,LauraHarrier,TopherGrace,48686605,7.5,160986,2018
Ocean's 8,Action- Comedy- Crime,GaryRoss,.,SandraBullock,CateBlanchett,AnneHathaway,MindyKaling,139377762,6.2,151453,2018
Red Sparrow,Action- Drama- Thriller,FrancisLawrence,.,JenniferLawrence,JoelEdgerton,MatthiasSchoenaerts,CharlotteRampling,46874505,6.6,141653,2018
First Man,Biography- Drama- History,DamienChazelle,.,RyanGosling,ClaireFoy,JasonClarke,KyleChandler,44936545,7.3,132065,2018
The Favourite,Biography- Drama- History,YorgosLanthimos,.,OliviaColman,EmmaStone,RachelWeisz,NicholasHoult,34243870,7.6,127804,2018
The Meg,Action- Horror- Sci-Fi,JonTurteltaub,.,JasonStatham,BingbingLi,RainnWilson,CliffCurtis,143005856,5.7,122692,2018
Rampage,Action- Adventure- Sci-Fi,BradPeyton,.,DwayneJohnson,NaomieHarris,MalinAkerman,JeffreyDeanMorgan,101028233,6.1,120750,2018
Isle of Dogs,Animation- Adventure- Comedy,WesAnderson,.,BryanCranston,KoyuRankin,EdwardNorton,BobBalaban,32015231,7.9,113355,2018
Upgrade,Action- Sci-Fi- Thriller,LeighWhannell,.,LoganMarshall-Green,MelanieVallejo,SteveDanielsen,AbbyCraden,11871365,7.5,112970,2018
Roma,Drama,AlfonsoCuarón,.,YalitzaAparicio,MarinadeTavira,DiegoCortinaAutrey,CarlosPeralta,.,7.8,112152,2018
Searching,Drama- Mystery- Thriller,AneeshChaganty,.,JohnCho,DebraMessing,JosephLee,MichelleLa,26020957,7.7,107767,2018
Crazy Rich Asians,Comedy- Drama- Romance,JonM.Chu,.,ConstanceWu,HenryGolding,MichelleYeoh,GemmaChan,174532921,6.9,106362,2018
The Equalizer 2,Action- Crime- Thriller,AntoineFuqua,.,DenzelWashington,PedroPascal,AshtonSanders,OrsonBean,102084362,6.7,104577,2018
Bumblebee,Action- Adventure- Sci-Fi,TravisKnight,.,HaileeSteinfeld,JorgeLendeborgJr.,JohnCena,JasonDrucker,127195589,6.8,103811,2018
Sicario: Day of the Soldado,Action- Crime- Drama,StefanoSollima,.,BenicioDelToro,JoshBrolin,IsabelaMoner,JeffreyDonovan,50072235,7.1,100955,2018
The Predator,Action- Adventure- Sci-Fi,ShaneBlack,.,BoydHolbrook,TrevanteRhodes,JacobTremblay,Keegan-MichaelKey,51024708,5.4,99912,2018
Ralph Breaks the Internet,Animation- Adventure- Comedy,PhilJohnston,RichMoore,JohnC.Reilly,SarahSilverman,GalGadot,TarajiP.Henson,201091711,7.1,98896,2018
Bad Times at the El Royale,Crime- Drama- Mystery,DrewGoddard,.,JeffBridges,CynthiaErivo,DakotaJohnson,JonHamm,17839115,7.1,98299,2018
The Nun,Horror- Mystery- Thriller,CorinHardy,.,DemiánBichir,TaissaFarmiga,JonasBloquet,BonnieAarons,117443149,5.4,97336,2018
Black Mirror: Bandersnatch,Drama- Mystery- Sci-Fi,DavidSlade,.,FionnWhitehead,CraigParkinson,AliceLowe,AsimChaudhry,.,7.2,96023,2018
Halloween,Horror- Thriller,DavidGordonGreen,.,JamieLeeCurtis,JudyGreer,AndiMatichak,JamesJudeCourtney,159342015,6.6,95022,2018
Maze Runner: The Death Cure,Action- Sci-Fi- Thriller,WesBall,.,DylanO'Brien,KiHongLee,KayaScodelario,ThomasBrodie-Sangster,58032443,6.2,94510,2018
The Ballad of Buster Scruggs,Comedy- Drama- Musical,EthanCoen,JoelCoen,TimBlakeNelson,WillieWatson,ClancyBrown,DannyMcCarthy,.,7.3,93185,2018
A Simple Favor,Comedy- Crime- Drama,PaulFeig,.,AnnaKendrick,BlakeLively,HenryGolding,AndrewRannells,53548586,6.8,92832,2018
Pacific Rim: Uprising,Action- Adventure- Sci-Fi,StevenS.DeKnight,.,JohnBoyega,ScottEastwood,CaileeSpaeny,BurnGorman,59874525,5.6,92273,2018
Tag,Comedy,JeffTomsic,.,JeremyRenner,EdHelms,JakeJohnson,JonHamm,54547470,6.5,91278,2018
The Commuter,Action- Mystery- Thriller,JaumeCollet-Serra,.,LiamNeeson,VeraFarmiga,PatrickWilson,JonathanBanks,36343858,6.3,86380,2018
Skyscraper,Action- Adventure- Thriller,RawsonMarshallThurber,.,DwayneJohnson,NeveCampbell,ChinHan,RolandMøller,67796355,5.8,86059,2018
The Cloverfield Paradox,Drama- Horror- Mystery,JuliusOnah,.,GuguMbatha-Raw,DavidOyelowo,DanielBrühl,JohnOrtiz,.,5.5,85159,2018
Love Simon,Comedy- Drama- Romance,GregBerlanti,.,NickRobinson,JenniferGarner,JoshDuhamel,KatherineLangford,40826341,7.6,84699,2018
Vice,Biography- Comedy- Drama,AdamMcKay,.,ChristianBale,AmyAdams,SteveCarell,SamRockwell,47836282,7.2,84167,2018
Creed II,Drama- Sport,StevenCapleJr.,.,MichaelB.Jordan,SylvesterStallone,TessaThompson,PhyliciaRashad,115715889,7.2,80335,2018
Mortal Engines,Action- Adventure- Fantasy,ChristianRivers,.,HeraHilmar,RobertSheehan,HugoWeaving,Jihae,15951040,6.1,77906,2018
Den of Thieves,Action- Crime- Drama,ChristianGudegast,.,GerardButler,PabloSchreiber,O'SheaJacksonJr.,50Cent,44947622,7,72392,2018
The Mule,Crime- Drama- Thriller,ClintEastwood,.,ClintEastwood,PatrickL.Reyes,CesarDeLeón,GustavoMuñoz,103804407,7,71105,2018
Widows,Crime- Drama- Thriller,SteveMcQueen,.,ViolaDavis,MichelleRodriguez,ElizabethDebicki,.,42402632,6.9,68151,2018
To All the Boys I've Loved Before,Drama- Romance,SusanJohnson,.,LanaCondor,NoahCentineo,JanelParrish,AnnaCathcart,.,7.2,66721,2018
Mamma Mia! Here We Go Again,Comedy- Musical- Romance,OlParker,.,LilyJames,AmandaSeyfried,MerylStreep,Cher,120634935,6.7,64126,2018
Overlord,Action- Adventure- Horror,JuliusAvery,.,JovanAdepo,WyattRussell,MathildeOllivier,PilouAsbæk,21704844,6.7,62688,2018
Mary Poppins Returns,Comedy- Family- Fantasy,RobMarshall,.,EmilyBlunt,Lin-ManuelMiranda,BenWhishaw,EmilyMortimer,171958438,6.8,59593,2018
Blockers,Comedy,KayCannon,.,LeslieMann,JohnCena,IkeBarinholtz,KathrynNewton,59839515,6.2,59591,2018
Christopher Robin,Adventure- Comedy- Drama,MarcForster,.,EwanMcGregor,HayleyAtwell,BronteCarmichael,MarkGatiss,99215042,7.3,56525,2018
The Spy Who Dumped Me,Action- Adventure- Comedy,SusannaFogel,.,JustinTheroux,BlankaGyörfi-Tóth,VilmaSzécsi,MilaKunis,33562069,6,54122,2018
Instant Family,Comedy- Drama,SeanAnders,.,MarkWahlberg,RoseByrne,IsabelaMoner,GustavoEscobar,67363237,7.3,53825,2018
Enes Batur Hayal mi Gerçek mi?,Comedy,KamilCetin,.,EnesBatur,BilalHanci,AtakanÖzyurt,FatihYasin,.,4.4,52716,2018
Death Wish,Action- Crime- Drama,EliRoth,.,BruceWillis,VincentD'Onofrio,ElisabethShue,CamilaMorrone,34017028,6.4,52660,2018
12 Strong,Action- Drama- History,NicolaiFuglsig,.,ChrisHemsworth,MichaelShannon,MichaelPeña,NavidNegahban,45495662,6.6,52525,2018
Mile 22,Action- Adventure- Thriller,PeterBerg,.,MarkWahlberg,LaurenCohan,IkoUwais,JohnMalkovich,36108758,6.1,52246,2018
Johnny English Strikes Again,Action- Adventure- Comedy,DavidKerr,.,RowanAtkinson,BenMiller,OlgaKurylenko,EmmaThompson,4280890,6.2,50686,2018
Andhadhun,Crime- Thriller,SriramRaghavan,.,AyushmannKhurrana,Tabu,RadhikaApte,AnilDhawan,1193046,8.4,47731,2018
Mowgli: Legend of the Jungle,Adventure- Drama- Fantasy,AndySerkis,.,ChristianBale,CateBlanchett,BenedictCumberbatch,NaomieHarris,.,6.5,47696,2018
Robin Hood,Action- Adventure- Thriller,OttoBathurst,.,TaronEgerton,JamieFoxx,BenMendelsohn,EveHewson,30824628,5.3,47327,2018
Mandy,Action- Fantasy- Horror,PanosCosmatos,.,NicolasCage,AndreaRiseborough,LinusRoache,NedDennehy,1214525,6.6,47247,2018
The Kissing Booth,Comedy- Romance,VinceMarcello,.,JoeyKing,JacobElordi,JoelCourtney,MeganduPlessis,.,6.1,47238,2018
Outlaw King,Action- Biography- Drama,DavidMackenzie,.,ChrisPine,StephenDillane,RebeccaRobin,BillyHowle,.,6.9,47196,2018
Eighth Grade,Comedy- Drama,BoBurnham,.,ElsieFisher,JoshHamilton,EmilyRobinson,JakeRyan,13539709,7.4,46801,2018
Fifty Shades Freed,Drama- Romance- Thriller,JamesFoley,.,DakotaJohnson,JamieDornan,EricJohnson,EloiseMumford,100407760,4.5,45519,2018
Hotel Transylvania 3: Summer Vacation,Animation- Adventure- Comedy,GenndyTartakovsky,.,AdamSandler,AndySamberg,SelenaGomez,KevinJames,167510016,6.3,44863,2018
Alpha,Adventure- Drama- Family,AlbertHughes,.,KodiSmit-McPhee,JóhannesHaukurJóhannesson,MarcinKowalczyk,JensHultén,35851379,6.7,44828,2018
Sorry to Bother You,Comedy- Fantasy- Sci-Fi,BootsRiley,.,LaKeithStanfield,TessaThompson,JermaineFowler,OmariHardwick,17493096,7,44539,2018
Insidious: The Last Key,Horror- Mystery- Thriller,AdamRobitel,.,LinShaye,LeighWhannell,AngusSampson,KirkAcevedo,67347895,5.7,44030,2018
The First Purge,Action- Horror- Sci-Fi,GerardMcMurray,.,Y'lanNoel,LexScottDavis,JoivanWade,SteveHarris,69086325,5.1,43982,2018
Tully,Comedy- Drama- Mystery,JasonReitman,.,CharlizeTheron,MackenzieDavis,RonLivingston,AsherMilesFallica,9227130,7,43234,2018
Suspiria,Fantasy- Horror- Mystery,LucaGuadagnino,.,ChloëGraceMoretz,TildaSwinton,DorisHick,MalgorzataBela,2474044,6.8,42580,2018
Sanju,Biography- Drama,RajkumarHirani,.,RanbirKapoor,PareshRawal,ManishaKoirala,VickyKaushal,7909317,7.9,41690,2018
